Code;pH;TOC;P;K;Mg;Ca;Na;MC;CEC
AA_1;7.2;1.32;26;35;19;319;8.6;2.048.163.464;1.880.468.227
AA_2;6.6;1.24;21;36;22;260;10.6;231.367.466;1.621.727.982
AA_3;7.2;1.3;33;28;13;281;4.5;1.993.047.509;1.604.693.423
AA_4;6.9;1.12;27;42;11;177;13;1.691.772.885;1.140.880.713
AA_5;7;1.13;24;15;9;216;4.5;1.799.213.789;1.213.026.756
AA_6;6.8;1.11;23;22;20;293;12.4;2.052.761.748;1.741.989.967
AA_7;6.3;0.93;15;13;8;154;5.1;1.715.289.982;892.173.913
AA_8;6.8;0.98;21;22;11;203;5.8;19.589.309;1.188.294.314
AA_9;6.7;1.09;22;21;14;273;5.1;2.145.464.757;1.557.686.734
AA_10;6.7;1.09;26;22;11;198;6;1.882.497.693;116.416.388
AA_11;6.3;0.96;14;15;7;150;5.9;1.636.726.547;8.724.470.457
AA_12;6.6;1.26;24;28;17;245;6.7;2.204.815.782;1.467.591.973
AA_13;6.7;1.1;16;19;13;246;5.8;2.081.694.402;1.412.268.673
AA_14;7;1.16;34;26;12;230;8.4;1.848.184.818;1.353.188.406
AA_15;7;1.27;18;17;9;193;7.1;1.670.984.456;1.114.459.309
AA_16;7;0.77;15;18;10;199;5;1.977.063.077;114.622.631
AA_17;7.1;1.05;18;24;15;284;11.3;2.024.486.226;1.655.668.896
AA_18;7.1;1.04;28;32;12;193;9;1.867.140.514;1.186.181.717
AA_19;6.6;1.05;16;23;10;149;6.8;1.931.818.182;9.168.729.097
AA_20;6.8;1.14;17;18;13;248;5.1;2.098.044.937;1.416.661.093
AA_21;7.1;1.05;17;19;12;241;5.8;203.471.827;137.893.534
AA_22;7.1;0.98;24;21;12;219;4.9;1.633.733.239;1.270.150.502
AA_23;6.6;1.02;19;17;9;179;5.1;1.846.938.776;1.035.763.657
AA_24;6.4;1.2;14;22;14;214;4.6;2.204.195.804;1.263.076.923
AA_25;7;1.19;22;25;14;215;7.8;189.766.181;1.289.682.274
AA_26;7.2;1.37;25;34;12;200;4.8;1.823.770.492;1.208.049.052
AA_27;7.3;1.26;32;21;19;454;3.4;1.937.017.231;2.496.962.096
AA_28;6.7;0.97;19;22;24;287;8.2;2.290.965.571;172.706.243
AA_29;7.2;1.32;19;29;21;257;10.6;2.125.917.561;1.580.445.931
AA_30;7.1;1.17;24;23;16;216;5.5;1.672.883.788;1.296.220.736
AA_32;6.7;1.18;20;20;17;215;13.5;2.120.863.309;132.664.437
AA_33;7.4;1.28;31;28;19;376;8.2;2.051.987.768;2.145.780.379
AA_34;7.1;1.43;22;15;14;223;4.9;1.694.262.611;1.291.432.553
AA_35;7;1.1;20;21;13;237;3.8;2.032.049.096;1.363.701.226
AA_36;6.7;1.15;27;29;16;241;6.2;2.173.797.502;1.439.648.829
AA_37;6.6;1.14;17;23;10;173;8.8;1.474.558.671;1.045.568.562
AA_38;6.8;1.06;17;24;12;159;8.7;1.780.955.476;9.943.645.485
AA_39;6.8;1.11;16;24;11;183;7.4;1.884.664.948;1.100.379.041
AA_40;7.1;1.12;32;23;15;280;2.1;2.064.264.849;1.593.104.794
AA_41;7.2;1.11;25;24;15;289;4.5;200.619.195;1.651.103.679
AA_42;7;1.24;19;25;12;203;9.2;1.920.614.597;1.219.102.564
AA_43;6.9;1.41;21;36;14;190;13.6;1.941.074.523;1.218.104.794
AA_44;7.2;1.24;26;34;14;253;16;2.073.707.371;1.538.411.371
AA_45;6.7;1.32;25;20;15;234;5.8;1.901.192.504;1.371.499.443
AA_47;6.5;1.01;14;24;11;163;8.8;2.089.516.515;1.006.465.998
AA_48;6.8;1.31;30;23;13;213;6.6;1.851.974.776;1.261.003.344
AA_49;7.1;1.24;27;31;20;265;9.9;2.045.922.873;1.614.197.324
AA_50;6.9;1.17;30;25;15;225;3.5;1.961.165.049;1.329.319.955
AA_51;7.3;1.18;20;29;18;284;13.2;2.018.779.343;1.701.750.279
AA_52;6.8;1.04;25;26;15;198;2.9;2.028.632.348;1.194.275.362
AA_53;6.6;1.04;22;19;15;216;1.8;2.072.628.458;1.261.544.036
AA_54;7.1;1.19;20;23;17;281;3.5;2.046.066.407;1.620.858.417
AA_55;6.7;1.02;10;29;12;161;9.3;2.111.010.009;1.019.793.757
AA_56;6.9;1.01;20;25;18;212;7.7;1.947.251.664;1.307.580.825
AA_57;6.4;1.15;19;20;13;197;2.9;1.964.674.571;115.722.408
AA_58;6.7;1.27;20;27;19;231;4.2;2.201.442.091;1.400.824.972
AA_59;6.5;1.23;21;26;19;205;4.9;20.125;1.271.304.348
AB_1;7.7;1.46;31;30;66;2075;4.6;2.171.239.357;1.102.192.308
AB_2;7.8;1.29;24;29;61;1618;4;1.887.096.774;8.690.083.612
AB_3;7.8;1.4;28;25;67;1892;6.5;2.020.860.495;1.011.069.677
AB_4;7.6;1.51;27;22;64;1187;3.9;2.083.134.257;6.541.700.111
AB_5;7.7;1.64;23;26;63;1693;3.7;202.502.317;9.072.753.623
AB_6;7.6;1.31;27;15;61;1290;3.1;193.627.451;7.010.273.133
AB_7;7.7;1.59;28;19;61;1479;3.1;1.730.903.994;7.965.529.543
AB_8;7.6;1.4;30;16;58;1759;4.1;2.114.366.396;9.337.185.061
AB_9;7.9;1.45;29;24;62;1444;3.2;2.102.231.821;7.812.118.172
AB_11;7.6;1.84;35;28;64;1814;5.1;2.192.369.694;9.697.302.118
AB_12;7.6;1.31;30;20;61;1248;3.9;1.606.648.199;6.816.571.906
AB_13;7.5;1.13;37;20;71;1185;3.9;1.981.009.927;658.490.524
AB_14;7.5;1.21;32;23;62;1026;3.6;203.806.016;57.212.932
AB_15;7.5;1.16;34;24;62;1063;3.8;2.028.985.507;5.909.726.867
AB_16;7.4;1.21;35;28;65;798;3.9;1.956.963.053;462.041.806
AB_17;7.6;1.445;30;21;64;1587;4.6;2.052.932.761;8.542.179.487
AB_18;7.6;0.95;22;23;70;1606;5.1;2.067.767.159;8.694.481.605
AB_19;7.5;1.16;26;45;77;1372;7.1;2.195.555.556;7.647.920.847
AB_20;7.5;1.94;32;39;67;1340;6.2;2.148.126.291;7.385.289.855
AB_21;7.6;1.25;33;34;68;1932;6.6;1.628.119.294;1.034.254.181
AB_22;7.4;1.42;36;30;48;648;4.4;2.219.512.195;3.736.053.512
AB_23;7.3;1.3;44;21;60;724;3.9;2.117.362.371;4.190.802.676
AB_24;7.6;0.96;28;25;68;1700;4.8;2.186.465.612;9.151.638.796
AB_25;7.6;1.27;34;29;64;1452;3.7;2.019.686.475;7.883.779.264
AB_26;7.6;1;37;25;78;1486;4.2;1.866.636.425;8.162.363.434
AB_27;7.7;1.18;31;30;85;2380;7;2.056.074.766;1.271.569.119
AB_28;7.6;1.07;33;19;76;1527;4.7;2.101.265.823;8.337.486.065
AB_29;7.5;1.25;39;32;54;1530;2.4;1.482.813.749;8.192.486.065
AB_30;7.5;1.18;44;33;65;1099;4.1;2.038.420.491;6.139.108.138
AB_31;7.8;1.22;43;26;50;1970;7.3;1.443.786.982;1.036.507.246
AB_32;7.9;1.21;46;35;71;2900;6.7;1.619.047.619;1.521.054.069
AB_33;7.5;1.19;42;30;63;1409;4.8;195.920.102;7.667.792.642
AB_34;7.8;2.4;31;29;69;3440;9.8;1.877.213.695;1.789.196.767
AB_35;7.5;0.85;27;14;56;2380;4.6;1.441.734.417;124.225.641
AB_36;7.5;1.26;42;24;67;1323;5;2.122.186.495;7.256.610.925
AB_37;7.7;0.98;32;22;76;1944;4.8;1.976.047.904;1.043.061.315
AB_38;7.9;0.88;28;16;53;2380;5.5;1.507.500.915;1.240.660.535
AB_39;7.7;1.05;29;24;58;2170;5.1;1.572.934.974;1.141.704.571
AK_1;6.8;1.33;24;54;22;191;0.94;2.57;12.81
AK_2;7.1;1.49;16;25;38;397;1;2.82;23.7
AK_3;7.9;0.82;13;23;68;131;2.2;3.64;12.9
AK_4;6.4;0.77;28;33;13;142;1.8;3.43;9.11
AK_5;7.2;1.02;33;30;14;292;2;3.37;16.62
AK_6;6.5;1.39;18;24;19;217;3.2;5.2;13.19
AK_7;5.8;1.51;12;26;15;132;1.2;4.16;8.57
AK_8;6.4;0.93;28;33;12;131;1.9;2.73;8.48
AK_9;6.4;0.89;15;20;16;186;2.6;4.74;11.26
AK_10;6.5;0.85;24;28;12;143;1.8;2.58;8.95
AK_11;6.8;0.97;21;19;14;241;3.6;3.83;13.86
AK_12;6.5;1.32;17;31;21;184;1.8;3.36;11.82
AK_13;6.1;1.18;11;15;18;173;2.7;5.52;10.65
AK_14;6.2;0.79;18;23;13;143;1.9;2.77;8.91
AK_15;6.4;0.93;17;22;14;149;2.7;3.31;9.3
AK_16;6.5;0.94;19;26;15;159;2.7;3.1;9.98
AK_17;7.1;0.88;22;25;13;288;1.6;3.51;16.19
AK_18;6.5;0.86;10;11;22;222;3.5;4.58;13.37
AK_19;6.3;0.91;10;15;17;204;2.5;5.14;12.11
AK_20;5.7;1.53;11;17;18;154;3.5;4.88;9.79
AK_21;6.6;0.96;21;22;12;175;2.3;2.9;10.41
AK_22;6.7;0.99;17;23;14;195;2.6;4.43;11.62
AK_23;7.3;1.02;23;30;14;299;2;3.7;16.97
AK_24;6.5;1.32;19;24;17;214;2.2;3.26;12.83
AK_25;6.4;1.29;20;19;15;215;2.6;4.77;12.6
AK_26;6.9;1.15;26;32;14;248;1.6;3.08;14.46
AK_27;6.5;1.02;23;29;13;187;1.8;3.46;11.26
AK_28;6.7;1.24;28;35;17;229;2.3;3.74;13.86
AK_29;6.4;1.06;23;33;14;176;2;4.13;10.9
AK_30;7.1;1.11;24;23;12;272;1.2;3.34;15.24
AK_31;6.4;0.97;16;23;13;169;2.8;2.28;10.24
AK_32;6.5;0.97;14;21;12;175;2.1;2.36;10.38
AK_33;6.5;1.19;27;35;13;183;2.3;3.08;11.23
AK_34;7.3;0.94;28;28;12;297;1.3;3.59;16.62
AK_35;6.2;1.07;20;21;16;153;3.6;2.34;9.68
AK_36;6.8;1.57;25;30;27;258;2.4;4.72;16.02
AK_37;6.7;1.24;23;29;17;228;2.1;3.95;13.65
AK_38;6.9;1.11;19;15;23;306;2.2;3.59;17.7
AK_39;6.6;1.28;20;26;18;227;3.4;3.89;13.66
AK_40;7;1.24;24;19;19;283;1.6;3.38;16.29
JZ_1;7.2;1.41;31;54;27;303;7.8;8.51;19.12
JZ_3;6.9;1.43;43;58;32;298;30;8.51;20.36
JZ_4;7.5;1.24;43;45;38;581;26;10.1;34.5
JZ_5;6.8;1.5;33;38;28;315;13.2;8.69;19.63
JZ_6;7;1.39;16;34;18;313;10.7;8.83;18.49
JZ_7;7.8;1.48;49;45;38;791;24;8.91;44.91
JZ_8;6.6;1.38;26;45;25;252;22;8.55;16.79
JZ_9;7.3;1.55;21;35;24;566;12.2;7.33;31.73
JZ_11;6.8;1.61;30;55;24;262;17;7.35;17.25
JZ_12;7.8;1.37;31;24;22;646;10.3;7.9;35.2
JZ_13;7;1.6;36;60;30;283;19;7.63;19.01
JZ_14;7.2;1.28;39;41;31;258;28;6.98;17.75
JZ_15;6.8;1.42;35;30;24;221;21;5.2;14.73
JZ_16;6.8;1.72;28;34;20;221;19;6.59;14.41
JZ_17;6.6;1.03;22;19;20;192;13.1;7.5;12.32
JZ_19;7.1;2.2;31;39;18;224;11.5;10.19;14.2
JZ_20;6.7;1.43;41;29;30;194;16;7.5;13.64
JZ_21;6.8;1.24;40;29;29;245;18;12.05;16.19
JZ_22;7.3;2.3;38;35;21;289;19;9.38;17.92
JZ_23;7.3;1.3;39;39;26;230;21;14.22;15.58
JZ_24;7;1.17;28;28;24;244;19;12.74;15.74
MA_1;7.2;1.43;49;44;25;343;3.3;23.96;20.51
MA_2;7.1;1.38;26;41;25;332;2.8;23.98;19.86
MA_3;6.3;1.82;8;44;20;172;6.3;28.81;11.67
MA_4;7.1;1.16;26;33;22;391;2.8;22.1;22.35
MA_6;7;1.8;34;44;20;250;3.3;22.83;15.44
MA_7;7.1;1.33;28;37;18;228;3.2;21.79;13.99
MA_8;7.1;1.38;27;44;20;230;4.7;23.53;14.5
MA_9;7.1;1.28;26;35;18;229;2.7;20.94;13.96
MA_10;7.4;1.27;38;32;23;317;2.6;21.07;18.7
MA_11;7.4;1.25;38;41;21;387;5.2;21.29;22.38
MA_12;7.5;1.17;34;41;22;461;5.6;22.76;26.18
MA_13;8;1.15;36;35;26;650;5.4;22.42;35.8
MA_14;7.3;1.35;28;69;23;278;6.2;23.08;17.86
MA_15;7.1;1.41;28;48;23;244;3.8;23.02;15.51
MA_16;7.5;1.54;25;52;27;350;3.7;23.24;21.24
MA_17;7.2;1.27;24;28;17;337;3.1;20.61;19.12
MA_18;7.1;1.61;24;60;21;229;6.5;25.37;15.02
MA_19;7.4;1.24;41;42;21;392;4.1;22.81;22.61
MA_20;7.3;1.31;69;35;22;381;2.9;22.93;21.91
MB_2;7.5;1.75;41;27;21;664;2.9;17.37;35.77
MB_3;6.8;1.75;36;28;16;224;2;14.97;13.34
MB_4;5.8;1.55;33;24;21;138;2.5;11.6;9.37
MB_6;6.8;1.73;31;29;15;220;1.3;15.85;13.05
MB_7;6.1;1.66;24;37;19;147;2.3;16.26;9.98
MB_8;5.5;1.67;29;28;17;112;1.6;12.1;7.8
MB_9;5.5;1.66;24;32;15;112;1.5;12.62;7.74
MB_10;5.3;1.21;19;28;12;83;1.1;11.27;5.92
MB_11;6.2;1.61;13;20;20;195;2.6;17.64;12.04
MB_12;5.3;1.5;22;28;15;85;2.5;11.9;6.33
MB_13;7.1;1.9;34;34;24;373;1.5;15.05;21.59
MB_14;5;1.4;22;27;14;85;1.2;15.57;6.16
MB_15;5.3;1.72;15;20;16;111;1.6;17.62;7.47
MB_16;5.2;1.64;26;24;17;111;2.2;13.03;7.68
MB_17;5;1.29;23;21;13;94;1.2;14.23;6.37
MB_18;5.7;1.61;21;28;17;135;2.4;15.07;8.99
MB_19;5.2;1.64;26;35;12;93;1.3;15.29;6.6
MB_20;5.5;1.44;29;26;15;111;1.8;14.66;7.54
MB_21;6.4;1.66;33;23;15;171;1.9;16.22;10.47
MB_22;6.4;1.41;18;20;22;178;2.4;15.96;11.35
MB_23;5.5;1.59;19;17;17;111;1.6;15.34;7.47
MB_24;7;1.78;34;49;17;213;1.9;11.89;13.41
MB_25;5.9;1.88;15;18;19;140;2;15.92;9.13
MW_1;7.6;1.24;42;26;67;2580;3.6;19.58;135.41
MW_2;7.7;1.57;29;18;61;2170;2.7;21.94;114.16
MW_3;7.5;1.16;34;15;73;1970;2.9;19.42;105.09
MW_4;7.3;1.38;43;32;62;1191;3.5;19.92;65.69
MW_5;7.4;1.82;41;31;60;1227;3.5;22.12;67.3
MW_7;7.6;1.27;24;26;68;1704;3.5;21.16;91.69
MW_8;7.5;1.5;43;24;51;2790;4.2;21.41;144.55
MW_9;7.5;2.2;34;27;70;1743;3.7;23.31;93.84
MW_10;7.7;1.18;44;14;48;4100;6.3;17.14;209.63
MW_11;7.8;0.99;36;18;67;1761;3;18.68;94.23
MW_12;7.5;1.46;36;30;76;1779;3.7;21.7;96.21
MW_13;7.7;1.14;43;10;49;3770;6.4;18.19;193.12
MW_14;7.6;1.05;33;14;58;2690;3;16.83;139.82
MW_15;7.8;1.09;47;13;48;4210;6;16.56;215.09
MW_16;7.9;1.06;43;13;49;3990;5.9;15.56;204.17
MW_17;7.5;1.57;28;26;67;1537;3.4;23.31;83.25
MW_18;7.7;1.18;44;17;51;3660;5;18.93;187.9
MW_19;7.5;1.74;32;28;61;1481;3.2;22.35;79.99
MW_20;7.7;1.15;20;18;67;3880;5.9;20.16;200.3
ST_1;7.1;1.5;32;35;19;270;2.6;13.36;16.09
ST_2;6.6;2.04;39;47;21;229;3.7;15.25;14.57
ST_3;6.7;1.48;38;44;21;242;2.7;15.61;15.1
ST_4;6.6;1.45;31;31;20;223;3.1;16.59;13.75
ST_5;6.7;1.56;41;49;20;232;3.4;13.49;14.67
ST_6;6.4;1.71;36;41;18;205;2.9;14.92;12.93
ST_7;6.2;1.49;33;34;17;204;3.3;17.23;12.63
ST_8;6.5;1.84;36;38;17;221;4.1;13.35;13.62
ST_9;6.5;1.84;42;55;18;233;3.6;16.62;14.72
ST_10;6.5;1.71;37;52;18;221;3.5;16.06;14.04
ST_11;6.2;1.21;27;30;18;211;3;15.69;12.95
ST_12;6.4;1.82;40;42;19;308;2;16.38;18.15
ST_13;6.7;1.9;43;48;19;306;2.2;17.73;18.21
